date,bank_holiday,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,school_holiday,feature_8,feature_9,feature_10,label
2006-08-02,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,2058
2006-08-03,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1852
2006-08-04,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1547
2006-08-05,0,1,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1547
2006-08-06,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1711
2006-08-07,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1374
2006-08-08,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1350
2006-08-09,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1447
2006-08-10,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1305
2006-08-11,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1365
2006-08-12,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1259
2006-08-13,0,1,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1550
2006-08-14,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1396
2006-08-15,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1439
2006-08-16,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1448
2006-08-17,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1308
2006-08-18,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1264
2006-08-19,0,1,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1274
2006-08-20,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1897
2006-08-21,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1102
2006-08-22,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1637
2006-08-23,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1352
2006-08-24,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1407
2006-08-25,0,1,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1289
2006-08-26,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1558
2006-08-27,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1921
2006-08-28,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1657
2006-08-29,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1658
2006-08-30,0,1,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1603
2006-08-31,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,514
2006-09-01,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,550
2006-09-02,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,842
2006-09-03,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1646
2006-09-04,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,656
2006-09-05,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,536
2006-09-06,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,708
2006-09-07,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,568
2006-09-08,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,584
2006-09-09,0,1,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1191
2006-09-10,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1210
2006-09-11,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,817
2006-09-12,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,705
2006-09-13,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,845
2006-09-14,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,639
2006-09-15,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,798
2006-09-16,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1023
2006-09-17,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1568
2006-09-18,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,728
2006-09-19,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,543
2006-09-20,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,654
2006-09-21,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,689
2006-09-22,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,760
2006-09-23,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1066
2006-09-24,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1512
2006-09-25,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,685
2006-09-26,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,621
2006-09-27,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,609
2006-09-28,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,669
2006-09-29,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,658
2006-09-30,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1006
2006-10-01,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1774
2006-10-02,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,2029
2006-10-03,3,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,2107
2006-10-04,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,885
2006-10-05,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,969
2006-10-06,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,972
2006-10-07,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,1059
2006-10-08,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,1496
2006-10-09,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,924
2006-10-10,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,961
2006-10-11,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,1164
2006-10-12,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,1180
2006-10-13,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,1038
2006-10-14,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,1137
2006-10-15,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1516
2006-10-16,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1063
2006-10-17,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,895
2006-10-18,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1238
2006-10-19,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1197
2006-10-20,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1133
2006-10-21,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1355
2006-10-22,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1833
2006-10-23,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1472
2006-10-24,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1455
2006-10-25,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1418
2006-10-26,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1281
2006-10-27,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1373
2006-10-28,0,1,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1310
2006-10-29,0,1,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1583
2006-10-30,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,745
2006-10-31,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,578
2006-11-01,2,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1104
2006-11-02,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,571
2006-11-03,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,658
2006-11-04,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1112
2006-11-05,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1389
2006-11-06,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,669
2006-11-07,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,520
2006-11-08,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,561
2006-11-09,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,534
2006-11-10,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,547
2006-11-11,0,1,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1513
2006-11-12,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1706
2006-11-13,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,716
2006-11-14,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,569
2006-11-15,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,611
2006-11-16,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,522
2006-11-17,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,669
2006-11-18,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1349
2006-11-19,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1717
